Autores,Tema,Link
Gabriel O. Ramos; Ana L. C. Bazzan; Bruno C. da Silva,Regret Minimisation and System-Efficiency in Route Choice,https://sol.sbc.org.br/index.php/ctd/article/view/6332/6229
Thiago Gouveia da Silva,The Minimum Labeling Spanning Tree and Related Problems,https://sol.sbc.org.br/index.php/ctd/article/view/6333/6230
Ramon Pires; Anderson Rocha; Jacques Wainer,Image Analytics Techniques for Diabetic Retinopathy Detection,https://sol.sbc.org.br/index.php/ctd/article/view/6328/6225
Eduardo K. Viegas; Altair O. Santin,Towards Reliable Intrusion Detection in High Speed Networks,https://sol.sbc.org.br/index.php/ctd/article/view/6330/6227
Daniel Xavier de Sousa; Thierson Couto Rosa; Marcos André Gonçalves,Evolutionary Risk-Sensitive Feature Selection for Learning to Rank,https://sol.sbc.org.br/index.php/ctd/article/view/6329/6226
Leandro M. Zatesko; Renato Carmo; André L. P. Guedes,Novel Procedures for Graph Edge-colouring,https://sol.sbc.org.br/index.php/ctd/article/view/6331/6228
Hugo Sadok; Miguel Elias M. Campista; Luis Henrique M. K. Costa,Improving Software Middleboxes and Datacenter Task Schedulers,https://sol.sbc.org.br/index.php/ctd/article/view/6334/6231
Samuel M. A. Araújo; Geraldo R. Mateus; Fernanda S. H. de Souza,Abordagens Exata e Heurística para o Mapeamento de Redes Virtuais,https://sol.sbc.org.br/index.php/ctd/article/view/6335/6232
Nicollas M. Sdroievski; Murilo V. G. da Silva; André L. Vignatti,Conhecimento Zero Estatístico e Reduções Eficientes para o Problema MKTP,https://sol.sbc.org.br/index.php/ctd/article/view/6336/6233
Klairton de Lima Brito; Zanoni Dias,Ordenação de Permutações com Sinais por Reversões e Transposições,https://sol.sbc.org.br/index.php/ctd/article/view/6337/6234
Marcos Roberto e Souza; Helio Pedrini,Digital Video Stabilization: Algorithms and Evaluation,https://sol.sbc.org.br/index.php/ctd/article/view/6338/6235
Anderson Lemos; Vinicius F. dos Santos; Olga Goussevskaia,Seleção de Representantes para Cobertura de Componentes Conexas em Grafos,https://sol.sbc.org.br/index.php/ctd/article/view/6339/6236
Bruno Henrique Ribeiro da Fonseca; Douglas Silva Domingues; Alexandre Rossi Paschoal,mirtronDB: a mirtron knowledge base,https://sol.sbc.org.br/index.php/ctd/article/view/6340/6237
Jorge A. Wagner Filho; Carla M. D. S. Freitas; Luciana Nedel,Evaluating Immersive Approaches to Multidimensional Information Visualization,https://sol.sbc.org.br/index.php/ctd/article/view/6341/6238
Alex Gliesch; Marcus Ritt,A Genetic Algorithm For Fair Land Allocation,https://sol.sbc.org.br/index.php/ctd/article/view/6342/6239
Celso A. Weffort-Santos; Christiane N. Campos; Rafael C. S. Schouery,Proper gap-labellings: on the edge and vertex variants,https://sol.sbc.org.br/index.php/ctd/article/view/6343/6240